Query ID,Winner,BM25_nDCG@10,Dense_nDCG@10,Hybrid_RRF_nDCG@10,Hybrid_Rerank_nDCG@10
test_query0,Hybrid (RRF),0.0,0.23365080824310533,0.30523488393970116,0.07336392209936005
test_query1,BM25,0.7917267193679839,0.0,0.4409203293308675,0.4412851793128928
test_query2,Hybrid (RRF),0.866947989864271,0.7007731679885374,0.933745776545611,0.933745776545611
test_query3,Hybrid + Rerank,0.30523488393970116,0.6274092458891772,0.4985723557253838,0.7631925784528223
test_query4,Hybrid + Rerank,0.5806020001118019,0.5309999066793252,0.84860265890399,0.9266360779006401
test_query5,Hybrid + Rerank,0.3589542101716347,0.8389574121760602,0.750637296052051,0.866947989864271
test_query6,BM25,1.0,0.933745776545611,1.0,1.0
test_query7,BM25,1.0,1.0,1.0,1.0
test_query8,Dense,0.5637884576902256,1.0,0.7222954974312066,0.7116179486056782
test_query9,BM25,1.0,1.0,1.0,1.0
test_query10,Hybrid (RRF),0.9363792118010483,0.6122496142821665,1.0,1.0
test_query11,BM25,0.8553475075669357,0.6835381846158709,0.7695261902392829,0.77523873680463
test_query12,Dense,0.3557772116892465,0.693761356516045,0.5887498202463202,0.6177639991612475
test_query13,BM25,1.0,0.9363792118010483,1.0,1.0
test_query14,Hybrid (RRF),0.5637884576902256,0.7846170207230129,0.933745776545611,0.914856882358379
test_query15,Hybrid (RRF),0.835780413693672,0.8512360941594274,0.8630152897016883,0.8205228949141826
test_query16,Hybrid (RRF),0.07336392209936005,0.5933607200949346,0.8454256604216017,0.696162268139923
test_query17,BM25,1.0,1.0,1.0,1.0
test_query18,Dense,0.20483424751859086,1.0,0.933745776545611,0.7720617383222417
test_query19,BM25,0.8415908474314976,0.5548989126424904,0.7125523635307982,0.6117952373568122
test_query20,Dense,0.0,1.0,0.48864468918810133,0.6618313225363274
test_query21,BM25,1.0,1.0,1.0,1.0
test_query22,Hybrid + Rerank,0.3557772116892465,0.43735247915031,0.5232512984721256,0.5653701424067237
test_query23,BM25,0.7909506325094737,0.5388856921828065,0.6332196796270029,0.5352543167750639
test_query24,Dense,0.5017289690294563,0.8701249883466593,0.800693766409882,0.800693766409882
test_query25,Dense,0.9266360779006401,1.0,1.0,0.9363792118010483
test_query26,BM25,0.826813366651774,0.37326895379685443,0.5617131059245698,0.6378891765242928
test_query27,BM25,1.0,1.0,1.0,1.0
test_query28,BM25,0.7116179486056782,0.47479014188018454,0.5645441593704201,0.5548989126424904
test_query29,Hybrid + Rerank,0.3882251478215036,0.3885264725763437,0.3764459522792426,0.3971921948634016
test_query30,Hybrid (RRF),0.8603818544462509,0.5009732673492616,0.9363792118010483,0.7909506325094737
test_query31,Hybrid + Rerank,0.8454256604216017,0.7136540102475308,0.8611375561264454,0.9052116356304493
test_query32,BM25,0.7909506325094737,0.7909506325094737,0.727329844310522,0.7151857987862356
test_query33,Dense,0.6429235234036081,0.7799082337019199,0.7799082337019199,0.7104770117651426
test_query34,Hybrid + Rerank,0.3093521167391581,0.9305687780632227,0.5309999066793252,1.0
test_query35,Dense,0.5861163849908828,0.9305687780632227,0.793584067764911,0.7529694065526482
test_query36,BM25,1.0,1.0,1.0,1.0
test_query37,Hybrid (RRF),0.7791714369672127,0.7917267193679839,0.933745776545611,0.9052116356304493
test_query38,Hybrid + Rerank,0.8364586133797037,0.7778721720600673,0.7909506325094737,0.933745776545611
test_query39,BM25,1.0,0.8603818544462509,0.9363792118010483,0.933745776545611
test_query40,Hybrid (RRF),0.914856882358379,0.9305687780632227,1.0,0.8553475075669357
test_query41,BM25,1.0,0.5884674004369673,1.0,0.8364586133797037
